STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
0204382800,"PASQUOTANK RIVER NEAR SOUTH MILLS, NC",Ref,SECstPlain,160.7841,03,36.421389,-76.3425,NC,NA,yes,2,2,2
02053200,"POTECASI CREEK NEAR UNION, NC",Ref,SECstPlain,583.6599,03,36.370833,-77.025556,NC,yes,yes,51,51,20
02053500,"AHOSKIE CREEK AT AHOSKIE, NC",Non-ref,SECstPlain,165.8835,03,36.280278,-76.999444,NC,NA,yes,59,59,20
02068500,"DAN RIVER NEAR FRANCISCO, NC",Non-ref,EastHghlnds,321.6789,03,36.515,-80.303056,NC,NA,yes,78,54,17
02069000,"DAN RIVER AT PINE HALL, NC",Non-ref,SEPlains,1280.292,03,36.319303,-80.050042,NC,NA,yes,6,4,1
02070500,"MAYO RIVER NEAR PRICE, NC",Ref,SEPlains,672.642,03,36.533889,-79.991389,NC,NA,yes,58,38,16
02071000,"DAN RIVER NEAR WENTWORTH, NC",Non-ref,SEPlains,2706.758,03,36.4125,-79.826111,NC,NA,yes,69,60,20
02074000,"SMITH RIVER AT EDEN, NC",Non-ref,SEPlains,1408.742,03,36.525556,-79.765556,NC,NA,yes,70,60,20
02077200,"HYCO CREEK NEAR LEASBURG, NC",Ref,SEPlains,121.6944,03,36.397778,-79.196667,NC,yes,yes,45,45,20
02077303,"HYCO R BL ABAY D NR MCGEHEES MILL, NC",Non-ref,SEPlains,526.7394,03,36.5225,-78.9975,NC,NA,yes,36,36,20
02077670,"MAYO CR NR BETHEL HILL, NC",Non-ref,SEPlains,137.3355,03,36.540833,-78.871944,NC,NA,yes,32,32,20
02080500,"ROANOKE RIVER AT ROANOKE RAPIDS, NC",Non-ref,SEPlains,21947.92,03,36.46,-77.633611,NC,NA,yes,96,59,19
0208111310,"CASHIE RIVER AT SR1257 NEAR WINDSOR, NC",Ref,SECstPlain,288.4779,03,36.047778,-76.984167,NC,yes,yes,22,22,20
02081500,"TAR RIVER NEAR TAR RIVER, NC",Ref,SEPlains,428.3661,03,36.194167,-78.583056,NC,yes,yes,70,60,20
02081747,"TAR R AT US 401 AT LOUISBURG, NC",Non-ref,SEPlains,1127.123,03,36.093056,-78.296111,NC,NA,yes,36,36,20
02082000,"TAR RIVER NEAR NASHVILLE, NC",Non-ref,SEPlains,1833.764,03,35.849322,-77.93054,NC,NA,NA,42,21,0
02082506,"TAR R BL TAR R RESERVOIR NR ROCKY MOUNT, NC",Non-ref,SEPlains,2030.275,03,35.900556,-77.865556,NC,NA,yes,37,37,20
02082585,"TAR RIVER AT NC 97 AT ROCKY MOUNT, NC",Non-ref,SEPlains,2415.513,03,35.954722,-77.787222,NC,NA,yes,31,31,18
02082770,"SWIFT CREEK AT HILLIARDSTON, NC",Ref,SEPlains,447.0708,03,36.112222,-77.92,NC,NA,yes,44,44,18
02082950,"LITTLE FISHING CREEK NEAR WHITE OAK, NC",Ref,SEPlains,460.8531,03,36.183333,-77.876111,NC,yes,yes,50,50,20
02083000,"FISHING CREEK NEAR ENFIELD, NC",Non-ref,SEPlains,1371.754,03,36.150556,-77.693056,NC,NA,yes,82,59,19
02083500,"TAR RIVER AT TARBORO, NC",Non-ref,SEPlains,5753.854,03,35.894444,-77.533056,NC,NA,yes,77,58,18
02083800,"CONETOE CREEK NEAR BETHEL, NC",Non-ref,SECstPlain,187.2459,03,35.775992,-77.462192,NC,NA,NA,43,43,11
02084000,"TAR RIVER AT GREENVILLE, NC",Non-ref,SEPlains,6984.106,03,35.616667,-77.372778,NC,NA,yes,9,9,9
02084160,"CHICOD CR AT SR1760 NEAR SIMPSON, NC",Ref,SECstPlain,109.0404,03,35.561667,-77.230833,NC,NA,yes,27,27,16
02084557,"VAN SWAMP NEAR HOKE, NC",Ref,SECstPlain,56.13005,03,35.730833,-76.746111,NC,yes,yes,32,32,20
02085000,"ENO RIVER AT HILLSBOROUGH, NC",Non-ref,SEPlains,170.9253,03,36.071111,-79.095556,NC,NA,yes,68,46,20
02085070,"ENO RIVER NEAR DURHAM, NC",Non-ref,SEPlains,367.7643,03,36.072222,-78.907778,NC,NA,yes,46,46,20
0208521324,"LITTLE RIVER AT SR1461 NEAR ORANGE FACTORY, NC",Non-ref,SEPlains,202.6575,03,36.141667,-78.919167,NC,NA,yes,22,22,20
02085220,"LITTLE RIVER NEAR ORANGE FACTORY, NC",Ref,SEPlains,208.1214,03,36.139032,-78.906397,NC,NA,NA,26,26,0
0208524090,"MOUNTAIN CREEK AT SR1617 NR BAHAMA, NC",Non-ref,SEPlains,20.7432,03,36.149722,-78.896667,NC,NA,yes,15,15,15
0208524975,"LITTLE R BL LITTLE R TRIB AT FAIRNTOSH, NC",Non-ref,SEPlains,254.4759,03,36.113333,-78.859722,NC,NA,yes,13,13,13
